"inv_date","total","cus_name","currency"
"2012-01-01 00:00:00+00",10000,"Bebig","USD"
"2012-01-01 00:00:00+00",27500,"Best","USD"
"2012-01-01 00:00:00+00",21406,"BZ","USD"
"2012-01-01 00:00:00+00",24000,"IsoAid","USD"
"2012-01-01 00:00:00+00",2400,"IsoRay Medical","USD"
"2012-01-01 00:00:00+00",5332,"IsoSolutions","USD"
"2012-01-01 00:00:00+00",1150,"Iso-Tex Diagnostics","USD"
"2012-01-01 00:00:00+00",1800,"Laboratorios Bacon S.A.","USD"
"2012-01-01 00:00:00+00",131084,"Medi Physics Inc. dba GE Healthcare","USD"
"2012-01-01 00:00:00+00",550,"Reflex Industries, Inc","USD"
"2012-01-01 00:00:00+00",24000,"Shanghai Xinke","USD"
"2012-01-01 00:00:00+00",17500,"Theragenics","USD"
"2012-01-01 00:00:00+00",550,"ViTrax","USD"
"2012-02-01 00:00:00+00",10000,"Bebig","USD"
"2012-02-01 00:00:00+00",20000,"Best","USD"
"2012-02-01 00:00:00+00",17976,"BZ","USD"
"2012-02-01 00:00:00+00",550,"Immunalysis Corporation","USD"
"2012-02-01 00:00:00+00",30000,"IsoAid","USD"
"2012-02-01 00:00:00+00",5332,"IsoSolutions","USD"
"2012-02-01 00:00:00+00",600,"Iso-Tex Diagnostics","USD"
"2012-02-01 00:00:00+00",3600,"Laboratorios Bacon S.A.","USD"
"2012-02-01 00:00:00+00",125280,"Medi Physics Inc. dba GE Healthcare","USD"
"2012-02-01 00:00:00+00",1560,"MP Biomedicals","USD"
"2012-02-01 00:00:00+00",24000,"Shanghai Xinke","USD"
"2012-02-01 00:00:00+00",15000,"Theragenics","USD"
"2012-02-01 00:00:00+00",0,"Valliant Group","CAD"
"2012-03-01 00:00:00+00",10000,"Bebig","USD"
"2012-03-01 00:00:00+00",20000,"Best","USD"
"2012-03-01 00:00:00+00",26964,"BZ","USD"
"2012-03-01 00:00:00+00",18000,"IsoAid","USD"
