	inv_date	ci_shipped	cus_name
0	2012-01-01 00:00:00+00:00	8.0	Bebig
1	2012-01-01 00:00:00+00:00	22.0	Best
2	2012-01-01 00:00:00+00:00	16.0	BZ
3	2012-01-01 00:00:00+00:00	20.0	IsoAid
4	2012-01-01 00:00:00+00:00	2.0	IsoRay Medical
5	2012-01-01 00:00:00+00:00	4.0	IsoSolutions
6	2012-01-01 00:00:00+00:00	1.0	Iso-Tex Diagnostics
7	2012-01-01 00:00:00+00:00	2.0	Laboratorios Bacon S.A.
8	2012-01-01 00:00:00+00:00	113.0	Medi Physics Inc. dba GE Healthcare
9	2012-01-01 00:00:00+00:00	0.0	Reflex Industries, Inc
10	2012-01-01 00:00:00+00:00	20.0	Shanghai Xinke
11	2012-01-01 00:00:00+00:00	14.0	Theragenics
12	2012-01-01 00:00:00+00:00	0.0	ViTrax
13	2012-02-01 00:00:00+00:00	8.0	Bebig
14	2012-02-01 00:00:00+00:00	16.0	Best
15	2012-02-01 00:00:00+00:00	12.0	BZ
16	2012-02-01 00:00:00+00:00	0.0	Immunalysis Corporation
17	2012-02-01 00:00:00+00:00	25.0	IsoAid
18	2012-02-01 00:00:00+00:00	4.0	IsoSolutions
19	2012-02-01 00:00:00+00:00	1.0	Iso-Tex Diagnostics
20	2012-02-01 00:00:00+00:00	4.0	Laboratorios Bacon S.A.
21	2012-02-01 00:00:00+00:00	108.0	Medi Physics Inc. dba GE Healthcare
22	2012-02-01 00:00:00+00:00	2.0	MP Biomedicals
23	2012-02-01 00:00:00+00:00	20.0	Shanghai Xinke
24	2012-02-01 00:00:00+00:00	12.0	Theragenics
25	2012-02-01 00:00:00+00:00		Valliant Group
26	2012-03-01 00:00:00+00:00	8.0	Bebig
27	2012-03-01 00:00:00+00:00	16.0	Best
28	2012-03-01 00:00:00+00:00	18.0	BZ
29	2012-03-01 00:00:00+00:00	15.0	IsoAid
30	2012-03-01 00:00:00+00:00	2.0	IsoRay Medical
31	2012-03-01 00:00:00+00:00	5.0	IsoSolutions
32	2012-03-01 00:00:00+00:00	1.0	Iso-Tex Diagnostics
33	2012-03-01 00:00:00+00:00	0.0	IVD Technologies
34	2012-03-01 00:00:00+00:00	2.0	Laboratorios Bacon S.A.
35	2012-03-01 00:00:00+00:00	135.0	Medi Physics Inc. dba GE Healthcare
36	2012-03-01 00:00:00+00:00	2.0	MP Biomedicals
37	2012-03-01 00:00:00+00:00		Pathology & Molecular Medicine
38	2012-03-01 00:00:00+00:00		Platelet Immunology Lab
39	2012-03-01 00:00:00+00:00		Psychiatry & Behavioral
40	2012-03-01 00:00:00+00:00	0.0	Reflex Industries, Inc
41	2012-03-01 00:00:00+00:00	20.0	Shanghai Xinke
42	2012-03-01 00:00:00+00:00	4.0	Theragenics
43	2012-03-01 00:00:00+00:00		Valliant Group
44	2012-03-01 00:00:00+00:00	0.0	ViTrax
45	2012-04-01 00:00:00+00:00	8.0	Bebig
46	2012-04-01 00:00:00+00:00	20.0	Best
47	2012-04-01 00:00:00+00:00		Henderson Research Centre
48	2012-04-01 00:00:00+00:00	25.0	IsoAid
49	2012-04-01 00:00:00+00:00	3.0	Iso-Ray - Anazao Health
50	2012-04-01 00:00:00+00:00	5.0	IsoSolutions
51	2012-04-01 00:00:00+00:00	1.0	Iso-Tex Diagnostics
52	2012-04-01 00:00:00+00:00	0.0	IVD Technologies
53	2012-04-01 00:00:00+00:00	0.0	Kinex
54	2012-04-01 00:00:00+00:00	2.0	Laboratorios Bacon S.A.
55	2012-04-01 00:00:00+00:00	96.0	Medi Physics Inc. dba GE Healthcare
56	2012-04-01 00:00:00+00:00	2.0	MP Biomedicals
57	2012-04-01 00:00:00+00:00		Pathology & Molecular Medicine
58	2012-04-01 00:00:00+00:00		Platelet Immunology Lab
59	2012-04-01 00:00:00+00:00		Psychiatry & Behavioral
60	2012-04-01 00:00:00+00:00	20.0	Shanghai Xinke
61	2012-04-01 00:00:00+00:00	10.0	Theragenics
62	2012-04-01 00:00:00+00:00		Valliant Group
63	2012-05-01 00:00:00+00:00	1.0	Anazao Health
64	2012-05-01 00:00:00+00:00	16.0	Best
65	2012-05-01 00:00:00+00:00	15.0	BZ
66	2012-05-01 00:00:00+00:00	0.0	Immunalysis Corporation
67	2012-05-01 00:00:00+00:00	25.0	IsoAid
68	2012-05-01 00:00:00+00:00	1.0	Iso-Ray - Anazao Health
69	2012-05-01 00:00:00+00:00	2.0	IsoRay Medical
70	2012-05-01 00:00:00+00:00	5.0	IsoSolutions
71	2012-05-01 00:00:00+00:00	2.0	Iso-Tex Diagnostics
72	2012-05-01 00:00:00+00:00	2.0	Laboratorios Bacon S.A.
73	2012-05-01 00:00:00+00:00	82.0	Medi Physics Inc. dba GE Healthcare
74	2012-05-01 00:00:00+00:00		Platelet Immunology Lab
75	2012-05-01 00:00:00+00:00	20.0	Shanghai Xinke
76	2012-05-01 00:00:00+00:00	10.0	Theragenics
77	2012-05-01 00:00:00+00:00		Valliant Group
78	2012-05-01 00:00:00+00:00	0.0	ViTrax
79	2012-06-01 00:00:00+00:00	10.0	Bebig
80	2012-06-01 00:00:00+00:00	20.0	Best
81	2012-06-01 00:00:00+00:00	10.0	BZ
