"inv_date","total","cus_name"
"2012-01-01 00:00:00+00",10000,"Bebig"
"2012-01-01 00:00:00+00",27500,"Best"
"2012-01-01 00:00:00+00",21406,"BZ"
"2012-01-01 00:00:00+00",24000,"IsoAid"
"2012-01-01 00:00:00+00",2400,"IsoRay Medical"
"2012-01-01 00:00:00+00",5332,"IsoSolutions"
"2012-01-01 00:00:00+00",1150,"Iso-Tex Diagnostics"
"2012-01-01 00:00:00+00",1800,"Laboratorios Bacon S.A."
"2012-01-01 00:00:00+00",131084,"Medi Physics Inc. dba GE Healthcare"
"2012-01-01 00:00:00+00",550,"Reflex Industries, Inc"
"2012-01-01 00:00:00+00",24000,"Shanghai Xinke"
"2012-01-01 00:00:00+00",17500,"Theragenics"
"2012-01-01 00:00:00+00",550,"ViTrax"
"2012-02-01 00:00:00+00",10000,"Bebig"
"2012-02-01 00:00:00+00",20000,"Best"
"2012-02-01 00:00:00+00",17976,"BZ"
"2012-02-01 00:00:00+00",550,"Immunalysis Corporation"
"2012-02-01 00:00:00+00",30000,"IsoAid"
"2012-02-01 00:00:00+00",5332,"IsoSolutions"
"2012-02-01 00:00:00+00",600,"Iso-Tex Diagnostics"
"2012-02-01 00:00:00+00",3600,"Laboratorios Bacon S.A."
"2012-02-01 00:00:00+00",125280,"Medi Physics Inc. dba GE Healthcare"
"2012-02-01 00:00:00+00",1560,"MP Biomedicals"
"2012-02-01 00:00:00+00",24000,"Shanghai Xinke"
"2012-02-01 00:00:00+00",15000,"Theragenics"
"2012-02-01 00:00:00+00",0,"Valliant Group"
"2012-03-01 00:00:00+00",10000,"Bebig"
"2012-03-01 00:00:00+00",20000,"Best"
"2012-03-01 00:00:00+00",26964,"BZ"
"2012-03-01 00:00:00+00",18000,"IsoAid"
"2012-03-01 00:00:00+00",2400,"IsoRay Medical"
"2012-03-01 00:00:00+00",6587,"IsoSolutions"
"2012-03-01 00:00:00+00",600,"Iso-Tex Diagnostics"
"2012-03-01 00:00:00+00",550,"IVD Technologies"
"2012-03-01 00:00:00+00",1800,"Laboratorios Bacon S.A."
"2012-03-01 00:00:00+00",156600,"Medi Physics Inc. dba GE Healthcare"
"2012-03-01 00:00:00+00",1560,"MP Biomedicals"
"2012-03-01 00:00:00+00",0,"Pathology & Molecular Medicine"
"2012-03-01 00:00:00+00",0,"Platelet Immunology Lab"
"2012-03-01 00:00:00+00",0,"Psychiatry & Behavioral"
"2012-03-01 00:00:00+00",550,"Reflex Industries, Inc"
"2012-03-01 00:00:00+00",24000,"Shanghai Xinke"
"2012-03-01 00:00:00+00",5000,"Theragenics"
"2012-03-01 00:00:00+00",0,"Valliant Group"
"2012-03-01 00:00:00+00",550,"ViTrax"
"2012-04-01 00:00:00+00",10000,"Bebig"
"2012-04-01 00:00:00+00",25000,"Best"
"2012-04-01 00:00:00+00",0,"Henderson Research Centre"
"2012-04-01 00:00:00+00",30000,"IsoAid"
"2012-04-01 00:00:00+00",3600,"Iso-Ray - Anazao Health"
"2012-04-01 00:00:00+00",6587,"IsoSolutions"
"2012-04-01 00:00:00+00",600,"Iso-Tex Diagnostics"
"2012-04-01 00:00:00+00",550,"IVD Technologies"
"2012-04-01 00:00:00+00",550,"Kinex"
"2012-04-01 00:00:00+00",1800,"Laboratorios Bacon S.A."
"2012-04-01 00:00:00+00",111360,"Medi Physics Inc. dba GE Healthcare"
"2012-04-01 00:00:00+00",1560,"MP Biomedicals"
"2012-04-01 00:00:00+00",0,"Pathology & Molecular Medicine"
"2012-04-01 00:00:00+00",0,"Platelet Immunology Lab"
"2012-04-01 00:00:00+00",0,"Psychiatry & Behavioral"
"2012-04-01 00:00:00+00",24000,"Shanghai Xinke"
"2012-04-01 00:00:00+00",12500,"Theragenics"
"2012-04-01 00:00:00+00",0,"Valliant Group"
"2012-05-01 00:00:00+00",1200,"Anazao Health"
"2012-05-01 00:00:00+00",20000,"Best"
"2012-05-01 00:00:00+00",22470,"BZ"
"2012-05-01 00:00:00+00",550,"Immunalysis Corporation"
"2012-05-01 00:00:00+00",30000,"IsoAid"
"2012-05-01 00:00:00+00",1200,"Iso-Ray - Anazao Health"
"2012-05-01 00:00:00+00",2400,"IsoRay Medical"
"2012-05-01 00:00:00+00",6587,"IsoSolutions"
"2012-05-01 00:00:00+00",1200,"Iso-Tex Diagnostics"
"2012-05-01 00:00:00+00",1800,"Laboratorios Bacon S.A."
"2012-05-01 00:00:00+00",93960,"Medi Physics Inc. dba GE Healthcare"
"2012-05-01 00:00:00+00",0,"Platelet Immunology Lab"
"2012-05-01 00:00:00+00",24000,"Shanghai Xinke"
"2012-05-01 00:00:00+00",12500,"Theragenics"
"2012-05-01 00:00:00+00",0,"Valliant Group"
"2012-05-01 00:00:00+00",550,"ViTrax"
"2012-06-01 00:00:00+00",12500,"Bebig"
"2012-06-01 00:00:00+00",25000,"Best"
"2012-06-01 00:00:00+00",14980,"BZ"
"2012-06-01 00:00:00+00",24000,"IsoAid"
"2012-06-01 00:00:00+00",2400,"IsoRay Medical"
"2012-06-01 00:00:00+00",5332,"IsoSolutions"
"2012-06-01 00:00:00+00",600,"Iso-Tex Diagnostics"
"2012-06-01 00:00:00+00",1800,"Laboratorios Bacon S.A."
"2012-06-01 00:00:00+00",93960,"Medi Physics Inc. dba GE Healthcare"
"2012-06-01 00:00:00+00",780,"MP Biomedicals"
"2012-06-01 00:00:00+00",0,"Psychiatry & Behavioral"
"2012-06-01 00:00:00+00",24000,"Shanghai Xinke"
"2012-06-01 00:00:00+00",32500,"Theragenics"
"2012-06-01 00:00:00+00",0,"Valliant Group"
"2012-07-01 00:00:00+00",12500,"Bebig"
"2012-07-01 00:00:00+00",20000,"Best"
"2012-07-01 00:00:00+00",37450,"BZ"
"2012-07-01 00:00:00+00",24000,"IsoAid"
"2012-07-01 00:00:00+00",6587,"IsoSolutions"
"2012-07-01 00:00:00+00",1200,"Iso-Tex Diagnostics"
"2012-07-01 00:00:00+00",550,"IVD Technologies"
"2012-07-01 00:00:00+00",3600,"Laboratorios Bacon S.A."
"2012-07-01 00:00:00+00",1560,"MP Biomedicals"
"2012-07-01 00:00:00+00",0,"Pathology & Molecular Medicine"
"2012-07-01 00:00:00+00",0,"Platelet Immunology Lab"
"2012-07-01 00:00:00+00",0,"Psychiatry & Behavioral"
"2012-07-01 00:00:00+00",550,"Reflex Industries, Inc"
"2012-07-01 00:00:00+00",24000,"Shanghai Xinke"
"2012-07-01 00:00:00+00",20000,"Theragenics"
"2012-07-01 00:00:00+00",0,"Valliant Group"
"2012-08-01 00:00:00+00",2400,"Anazao Health"
"2012-08-01 00:00:00+00",45000,"Bebig"
"2012-08-01 00:00:00+00",25000,"Best"
"2012-08-01 00:00:00+00",14980,"BZ"
"2012-08-01 00:00:00+00",30000,"IsoAid"
"2012-08-01 00:00:00+00",1200,"Iso-Ray - Anazao Health"
"2012-08-01 00:00:00+00",6587,"IsoSolutions"
"2012-08-01 00:00:00+00",1200,"Iso-Tex Diagnostics"
"2012-08-01 00:00:00+00",4200,"Laboratorios Bacon S.A."
"2012-08-01 00:00:00+00",2340,"MP Biomedicals"
"2012-08-01 00:00:00+00",0,"Platelet Immunology Lab"
"2012-08-01 00:00:00+00",0,"Psychiatry & Behavioral"
"2012-08-01 00:00:00+00",24000,"Shanghai Xinke"
"2012-08-01 00:00:00+00",25000,"Theragenics"
"2012-08-01 00:00:00+00",0,"Toronto, University of"
"2012-08-01 00:00:00+00",0,"Valliant Group"
"2012-08-01 00:00:00+00",550,"ViTrax"
"2012-09-01 00:00:00+00",77500,"Bebig"
"2012-09-01 00:00:00+00",15000,"Best"
"2012-09-01 00:00:00+00",31866,"BZ"
"2012-09-01 00:00:00+00",550,"Immunalysis Corporation"
"2012-09-01 00:00:00+00",24000,"IsoAid"
"2012-09-01 00:00:00+00",6587,"IsoSolutions"
"2012-09-01 00:00:00+00",550,"IVD Technologies"
"2012-09-01 00:00:00+00",2400,"Laboratorios Bacon S.A."
"2012-09-01 00:00:00+00",0,"Pathology & Molecular Medicine"
"2012-09-01 00:00:00+00",0,"Platelet Immunology Lab"
"2012-09-01 00:00:00+00",0,"Psychiatry & Behavioral"
"2012-09-01 00:00:00+00",550,"Reflex Industries, Inc"
"2012-09-01 00:00:00+00",24000,"Shanghai Xinke"
"2012-09-01 00:00:00+00",25000,"Theragenics"
"2012-09-01 00:00:00+00",0,"Valliant Group"
"2012-10-01 00:00:00+00",102500,"Bebig"
"2012-10-01 00:00:00+00",25000,"Best"
"2012-10-01 00:00:00+00",14980,"BZ"
"2012-10-01 00:00:00+00",30000,"IsoAid"
"2012-10-01 00:00:00+00",2400,"Iso-Ray - Anazao Health"
"2012-10-01 00:00:00+00",6587,"IsoSolutions"
"2012-10-01 00:00:00+00",600,"Iso-Tex Diagnostics"
"2012-10-01 00:00:00+00",7050,"Laboratorios Bacon S.A."
"2012-10-01 00:00:00+00",0,"Psychiatry & Behavioral"
"2012-10-01 00:00:00+00",24000,"Shanghai Xinke"
"2012-10-01 00:00:00+00",32500,"Theragenics"
"2012-10-01 00:00:00+00",0,"Valliant Group"
"2012-11-01 00:00:00+00",15000,"Best"
"2012-11-01 00:00:00+00",29960,"BZ"
"2012-11-01 00:00:00+00",18000,"IsoAid"
"2012-11-01 00:00:00+00",6587,"IsoSolutions"
"2012-11-01 00:00:00+00",600,"Iso-Tex Diagnostics"
"2012-11-01 00:00:00+00",3450,"Laboratorios Bacon S.A."
"2012-11-01 00:00:00+00",19000,"Medi Physics Inc. dba GE Healthcare"
"2012-11-01 00:00:00+00",780,"MP Biomedicals"
"2012-11-01 00:00:00+00",0,"Pathology & Molecular Medicine"
"2012-11-01 00:00:00+00",550,"Reflex Industries, Inc"
"2012-11-01 00:00:00+00",24000,"Shanghai Xinke"
"2012-11-01 00:00:00+00",25000,"Theragenics"
"2012-11-01 00:00:00+00",550,"ViTrax"
"2012-12-01 00:00:00+00",25000,"Best"
"2012-12-01 00:00:00+00",14980,"BZ"
"2012-12-01 00:00:00+00",0,"Henderson Research Centre"
"2012-12-01 00:00:00+00",550,"Immunalysis Corporation"
"2012-12-01 00:00:00+00",24000,"IsoAid"
"2012-12-01 00:00:00+00",7842,"IsoSolutions"
"2012-12-01 00:00:00+00",600,"Iso-Tex Diagnostics"
"2012-12-01 00:00:00+00",3450,"Laboratorios Bacon S.A."
"2012-12-01 00:00:00+00",1560,"MP Biomedicals"
"2012-12-01 00:00:00+00",0,"National Institute of Stds & Tech"
"2012-12-01 00:00:00+00",18400,"PerkinElmer"
"2012-12-01 00:00:00+00",0,"Platelet Immunology Lab"
